"LAT","LON","YEAR","MO","DY","WS50M","QV2M","ALLSKY_SFC_UV_INDEX","Date","predicted_power_usage","date"
-32.75,20.75,2020,1,9,5.78,7.67,3.33,2020-01-09,1.80838454074824,2020-01-09
-32.25,18.75,2020,1,9,5.14,8.97,3.12,2020-01-09,2.12202469263922,2020-01-09
-32.25,19.25,2020,1,9,5.41,8.07,3.42,2020-01-09,1.91062874423884,2020-01-09
-32.25,19.75,2020,1,9,5.29,7.53,3.42,2020-01-09,1.79314280127129,2020-01-09
-32.25,20.25,2020,1,9,5.44,7.18,3.33,2020-01-09,1.70944098502597,2020-01-09
-32.25,20.75,2020,1,9,5.86,7.06,3.33,2020-01-09,1.66852072945235,2020-01-09
-34.25,18.75,2020,1,10,5.61,10.44,3.25,2020-01-10,2.43709434682719,2020-01-10
-34.25,19.25,2020,1,10,5.17,9.78,3.19,2020-01-10,2.30322787627814,2020-01-10
-34.25,19.75,2020,1,10,5.33,9.65,3.19,2020-01-10,2.26868032880898,2020-01-10
-34.25,20.25,2020,1,10,5.83,9.98,3.18,2020-01-10,2.3263282616,2020-01-10
-34.25,20.75,2020,1,10,6.4,10.55,3.18,2020-01-10,2.43563947246686,2020-01-10
-33.75,18.75,2020,1,10,4.44,8.85,3.3,2020-01-10,2.11824564699962,2020-01-10
-33.75,19.25,2020,1,10,3.92,8.14,3.46,2020-01-10,1.97578532758047,2020-01-10
-33.75,19.75,2020,1,10,3.93,8.22,3.46,2020-01-10,1.99344857753353,2020-01-10
-33.75,20.25,2020,1,10,4.06,8.61,3.5,2020-01-10,2.0768625252448,2020-01-10
-33.75,20.75,2020,1,10,4.1,9.05,3.5,2020-01-10,2.17450782690543,2020-01-10
-33.25,18.75,2020,1,10,4.3,7.87,3.3,2020-01-10,1.90245116647975,2020-01-10
-33.25,19.25,2020,1,10,4.07,7.26,3.46,2020-01-10,1.77286751150489,2020-01-10
-33.25,19.75,2020,1,10,4.19,7.37,3.46,2020-01-10,1.79363103951582,2020-01-10
-33.25,20.25,2020,1,10,4.14,7.72,3.5,2020-01-10,1.87401667630273,2020-01-10
-33.25,20.75,2020,1,10,3.9,8.14,3.5,2020-01-10,1.97644856347215,2020-01-10
-32.75,18.75,2020,1,10,4.29,7.42,3.39,2020-01-10,1.80156165249424,2020-01-10
-32.75,19.25,2020,1,10,4.41,6.83,3.55,2020-01-10,1.66487008638972,2020-01-10
-32.75,19.75,2020,1,10,4.5,6.79,3.55,2020-01-10,1.65288809092771,2020-01-10
-32.75,20.25,2020,1,10,4.6,6.95,3.59,2020-01-10,1.68556164726713,2020-01-10
-32.75,20.75,2020,1,10,4.62,7.31,3.59,2020-01-10,1.76587531692054,2020-01-10
-32.25,18.75,2020,1,10,4.23,7.39,3.39,2020-01-10,1.79680328470718,2020-01-10
-32.25,19.25,2020,1,10,4.43,6.68,3.55,2020-01-10,1.63046647318759,2020-01-10
-32.25,19.75,2020,1,10,4.47,6.45,3.55,2020-01-10,1.57740475619487,2020-01-10
-32.25,20.25,2020,1,10,4.68,6.46,3.59,2020-01-10,1.57269013781961,2020-01-10
-32.25,20.75,2020,1,10,4.89,6.76,3.59,2020-01-10,1.63320691557788,2020-01-10
-34.25,18.75,2020,1,11,4.1,11.23,3.08,2020-01-11,2.66486797715066,2020-01-11
-34.25,19.25,2020,1,11,4.06,10.11,3.18,2020-01-11,2.41426629834931,2020-01-11
-34.25,19.75,2020,1,11,4.39,9.5,3.18,2020-01-11,2.26611203840744,2020-01-11
-34.25,20.25,2020,1,11,4.76,9.85,3.33,2020-01-11,2.3325697214691,2020-01-11
-34.25,20.75,2020,1,11,5,10.93,3.33,2020-01-11,2.5675416074042,2020-01-11
-33.75,18.75,2020,1,11,4.06,9.19,3.2,2020-01-11,2.20732531751188,2020-01-11
-33.75,19.25,2020,1,11,3.98,7.65,3.51,2020-01-11,1.86357705402462,2020-01-11
-33.75,19.75,2020,1,11,4.34,7.21,3.51,2020-01-11,1.75266703453041,2020-01-11
-33.75,20.25,2020,1,11,4.71,7.62,3.55,2020-01-11,1.83262086851625,2020-01-11
-33.75,20.75,2020,1,11,4.92,8.52,3.55,2020-01-11,2.02809915551633,2020-01-11
-33.25,18.75,2020,1,11,4.1,7.78,3.2,2020-01-11,1.88883929901027,2020-01-11
-33.25,19.25,2020,1,11,4.21,6.41,3.51,2020-01-11,1.57702938883725,2020-01-11
-33.25,19.75,2020,1,11,4.61,6.18,3.51,2020-01-11,1.51202942579431,2020-01-11
-33.25,20.25,2020,1,11,5.1,6.57,3.55,2020-01-11,1.58350512745535,2020-01-11
-33.25,20.75,2020,1,11,5.41,7.27,3.55,2020-01-11,1.73068006524976,2020-01-11
-32.75,18.75,2020,1,11,4.26,6.9,3.21,2020-01-11,1.68558986498886,2020-01-11
-32.75,19.25,2020,1,11,4.66,5.75,3.5,2020-01-11,1.41364892110848,2020-01-11
-32.75,19.75,2020,1,11,4.86,5.66,3.5,2020-01-11,1.38677233580542,2020-01-11
-32.75,20.25,2020,1,11,5.33,5.96,3.58,2020-01-11,1.43866704697187,2020-01-11
-32.75,20.75,2020,1,11,5.83,6.41,3.58,2020-01-11,1.52330728161125,2020-01-11
-32.25,18.75,2020,1,11,4.31,6.87,3.21,2020-01-11,1.67718369979757,2020-01-11
-32.25,19.25,2020,1,11,4.61,5.47,3.5,2020-01-11,1.3523249731915,2020-01-11
-32.25,19.75,2020,1,11,4.74,5.13,3.5,2020-01-11,1.27153575132523,2020-01-11
-32.25,20.25,2020,1,11,5.08,5.26,3.58,2020-01-11,1.28950240150241,2020-01-11
-32.25,20.75,2020,1,11,5.53,5.7,3.58,2020-01-11,1.37355136738363,2020-01-11
-34.25,19.25,2020,1,12,4.95,11.39,3.15,2020-01-12,2.67267018755212,2020-01-12
-34.25,19.75,2020,1,12,4.38,10.96,3.15,2020-01-12,2.59484999550834,2020-01-12
-34.25,20.25,2020,1,12,4.21,11.07,3.12,2020-01-12,2.62523044394861,2020-01-12
